Product Name,Price,Rating,Ratings Count,Reviews Count,Features,Price_Clean,Ratings_Count_Clean,Reviews_Count_Clean,Brand,Processor,RAM_GB,Storage_GB
Asus Vivobook Go 15 Amd Ryzen 5 Quad Core 7520U - (16 Gb/512 Gb Ssd/Windows 11 Home) E1504Fa-Nj549Ws T...,"₹42,850",4.2,130,7,AMD Ryzen 5 Quad Core Processor | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,42850.0,130,7,Asus,AMD Ryzen,16.0,16.0
Apple Macbook Air M4 - (16 Gb/512 Gb Ssd/Macos Sequoia) Mc7C4Hn/A,"₹1,38,990",5.0,10,0,"Apple M4 Processor | 16 GB Unified Memory RAM | Mac OS Operating System | 512 GB SSD | 38.86 cm (15.3 Inch) Display | Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, iPhone Mirroring, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Passwords, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Stocks, Time Machine, Tips, TV, Voice Memos, Weather | 1 Year Limited Warranty",138990.0,10,0,Apple,Other,16.0,16.0
Msi Cyborg 15 Ai Pc Intel Core Ultra 7 155H - (16 Gb/1 Tb Ssd/Windows 11 Home/6 Gb Graphics/Nvidia Gef...,"₹94,990",4.9,7,0,Intel Core Ultra 7 Processor | 16 GB DDR5 RAM | Windows 11 Operating System | 1 TB SSD | 39.62 cm (15.6 Inch) Display | 2 Year Carry-in Warranty,94990.0,7,0,Msi,Other,16.0,16.0
Dell 14 Amd Ryzen 5 Hexa Core Ai 5 340 - (16 Gb/512 Gb Ssd/Windows 11 Home) Db14255 Thin And Light Lap...,"₹72,990",4.3,0,0,AMD Ryzen 5 Hexa Core Processor | 16 GB LPDDR5X RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Hardware Service,72990.0,0,0,Dell,AMD Ryzen,16.0,16.0
Lenovo Ideapad 3 Intel Core I5 11Th Gen 1135G7 - (8 Gb/512 Gb Ssd/Windows 11 Home) Ideapad 3 15Itl6 Th...,"₹54,999",4.3,0,0,Intel Core i5 Processor (11th Gen) | 8 GB DDR4 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home and Student 2021 | 2 Years Warranty,54999.0,0,0,Lenovo,Intel Core i5,8.0,8.0
Hp Intel Core I5 13Th Gen 1340P - (16 Gb/512 Gb Ssd/Windows 11 Home) 15-Eg3027Tu Thin And Light Laptop,"₹72,990",2.7,7,1,Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,72990.0,7,1,Hp,Intel Core i5,16.0,16.0
Hp Pavilion Intel Core I5 13Th Gen 1340P - (16 Gb/512 Gb Ssd/Windows 11 Home) 15-Eg3079Tu Thin And Lig...,"₹69,999",4.3,"1,672",106,Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,69999.0,1672,106,Hp,Intel Core i5,16.0,16.0
Dell Latitude 3540 Intel Core I3 12Th Gen - (8 Gb/512 Gb Ssd/Ubuntu) Latitude 3540 Laptop,"₹39,990",4.1,115,8,Intel Core i3 Processor (12th Gen) | 8 GB DDR4 RAM | Linux/Ubuntu Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year,39990.0,115,8,Dell,Intel Core i3,8.0,8.0
Acer Amd Ryzen 5 Hexa Core 5600U - (16 Gb/512 Gb Ssd/Windows 10 Home/4 Gb Graphics) Sfx14-41G Thin And...,"₹52,999",4.3,0,0,"AMD Ryzen 5 Hexa Core Processor | 16 GB LPDDR4X RAM | 64 bit Windows 10 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Acer Care Center, Quick Access, Acer Product Registration | 1 Year International Travelers Warranty (ITW)",52999.0,0,0,Acer,AMD Ryzen,16.0,16.0
Acer Swift Go 14 Touchscreen Ai Pc Intel Core Ultra 5 125H - (16 Gb/512 Gb Ssd/Windows 11 Home) Sfg14-...,"₹73,805",4.4,756,91,Intel Core Ultra 5 Processor | 16 GB LPDDR5X RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Touchscreen Display | 1 Year Carry-in Warranty,73805.0,756,91,Acer,Other,16.0,16.0
