id,product_name,price,rating,ratings_count,reviews_count,features,brand,processor,ram_gb,storage_gb,Cluster
44,Dell G15 Intel Core I5 13Th Gen 13450Hx - (16 Gb/512 Gb Ssd/Windows 11 Home/6 Gb Graphics/Nvidia Gefor...,79990.0,4.2,452,40,"Intel Core i5 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Alienware Command Center,Dell Support Assist) | 1 Year Basic Onsite Service after remote diagnosis with Hardware-Only Support",Dell,Intel Core i5,16,16,1
45,Lenovo Ideapad Slim 3 Next Gen Ai Pc Wuxga Ips Copilot + Pc Qualcomm Snapdragon X - (16 Gb/512 Gb Ssd/...,50990.0,4.3,595,58,Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 38.86 cm (15.3 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty,Lenovo,Qualcomm Snapdragon,16,16,1
46,Dell 15 (Core I3 14Th Gen) Intel Core 3 100U - (8 Gb/512 Gb Ssd/Windows 11 Home) Dc15250 Thin And Ligh...,39990.0,4.7,12,0,Intel Core 3 Processor | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 38.1 cm (15 Inch) Display | 1 Year Onsite Warranty,Dell,Other,8,8,1
47,"Asus Vivobook 15 (2025) With Office 2024 + M365 Basic*, Intel Core I3 13Th Gen 1315U - (8 Gb/512 Gb Ss...",45200.0,4.3,2371,146,"Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty",Asus,Intel Core i3,8,8,1
48,Acer Aspire 3 Intel Core I3 13Th Gen 1305U - (16 Gb/512 Gb Ssd/Windows 11 Home) A324-53 Thin And Light...,35990.0,4.3,3357,248,Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Carry-in Warranty,Acer,Intel Core i3,16,16,1
49,Hp Mso 2024 Intel Core I3 13Th Gen 1315U - (16 Gb/512 Gb Ssd/Windows 11 Home) 15-Fd0574Tu / 15 - Fd066...,42990.0,4.2,2532,151,Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty,Hp,Intel Core i3,16,16,1
50,Hp Amd Ryzen 5 Quad Core 7520U - (16 Gb/512 Gb Ssd/Windows 11 Home) 15-Fc0690Au Thin And Light Laptop,44990.0,4.1,378,27,AMD Ryzen 5 Quad Core Processor | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,Hp,AMD Ryzen,16,16,1
51,Dell Inspiron 15 With Backlit Keyboard Intel Core I7 13Th Gen 1355U - (16 Gb/512 Gb Ssd/Windows 11 Hom...,69990.0,4.1,61,3,"Intel Core i7 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | My Dell (Dell Power Manager,Dell Support Assist) | 1 Year Onsite Hardware Service",Dell,Intel Core i7,16,16,1
52,Acer Nitro Lite 16 Intel Core I7 13Th Gen 13620H - (16 Gb/512 Gb Ssd/Windows 11 Home/6 Gb Graphics/Nvi...,69990.0,4.3,367,25,Intel Core i7 Processor (13th Gen) | 16 GB DDR5 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 40.64 cm (16 Inch) Display | 1 Year Warranty,Acer,Intel Core i7,16,16,1
53,Hp Omen Intel Core 7 240H - (24 Gb/1 Tb Ssd/Windows 11 Home/8 Gb Graphics/Nvidia Geforce Rtx 5050) 16-...,119990.0,4.4,60,6,Intel Core 7 Processor | 24 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 40.64 cm (16 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty,Hp,Other,24,24,1
54,"Asus Vivobook 15 (2025) (I5 14Th Gen) With Mso 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",51990.0,4.3,1326,98,"Intel Core 5 Processor | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty",Asus,Other,16,16,1
55,Hp Intel Celeron Dual Core N4500 - (8 Gb/512 Gb Ssd/Windows 11 Home) 14S-Dq3149Tu / 14S-Dq3141Tu Thin ...,30800.0,3.8,674,31,Intel Celeron Dual Core Processor | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty,Hp,Intel Celeron,8,8,1
56,Lenovo 100E Chromebook Gen 4 Mediatek Kompanio 520 - (8 Gb/64 Gb Emmc Storage/Chrome Os) 100E Chromebo...,11990.0,4.0,2339,170,MediaTek Kompanio 520 Processor | 8 GB LPDDR4X RAM | Chrome Operating System | 29.46 cm (11.6 Inch) Display | 1 Year Carry In Warranty,Lenovo,Other,8,8,1
57,Samsung Galaxy Book4 Metal Intel Core I5 13Th Gen 1335U - (8 Gb/512 Gb Ssd/Windows 11 Home) Np750Xgj-K...,47730.0,4.4,15581,1237,Intel Core i5 Processor (13th Gen) | 8 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Samsung,Intel Core i5,8,8,1
58,Asus Chromebook Cx15 Intel Celeron Dual Core N4500 - (4 Gb/64 Gb Emmc Storage/Chrome Os) Cx1505Cka-S70...,14990.0,3.8,132,6,Intel Celeron Dual Core Processor | 4 GB LPDDR4X RAM | Chrome Operating System | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,Asus,Intel Celeron,4,4,1
